"","Gene","acarbose/H/24 hr","acarbose/H/24 hr(p)"
"1557418_at","2182",3.351490734348597,0.03795729406953759
"230386_at","",2.515820687195814,0.14710730040234926
"215101_s_at","6374",2.406792918831859,0.12794824425111917
"214974_x_at","6374",2.1215949627286266,0.10676920279053509
"1566852_at","287015",2.085982941701502,0.0385252411846119
"217559_at","140801",1.9641729100798098,0.011735557437713208
"1562259_at","374618",1.8871106591822546,0.24057585882217924
"235023_at","54832",1.8797875022872046,0.13880945434796205
"220267_at","192666",1.8210986804211042,0.03184059441150782
"232055_at","94081",1.7785888367725144,0.10491127806540554
"228047_at","26775",1.701936379807768,0.22170431893377063
"1559332_at","",1.6512150141085016,0.15230036002019537
"201272_at","231",1.6409980253635534,0.05740851929791915
"220590_at","55846",1.6380807971089528,0.05167806268808499
"226309_at","83544",1.6251530834911465,0.14959997825104568
"1557036_at","22890",1.6226980510645788,0.04892208960715773
"239245_at","",1.5651625867999646,0.2623058155647266
"216598_s_at","6347",1.55901347340771,0.03439752438045338
"208154_at","",1.5519131595138427,0.19495990599631377
"1554963_at","",1.5508133183735013,0.23551757311570265
"236355_s_at","",1.5415983159233166,0.16052477513275795
"1561442_at","283585",1.498305132757059,0.1841097241356746
"233364_s_at","",1.494268442429637,0.08797781407278345
"220253_s_at","29967",1.4888542649216623,0.06856919884929237
"204650_s_at","10307",1.4518978789585049,0.1898373301491224
"242710_at","",1.4198217436554599,0.28146919182905294
"208486_at","1816",1.398143113641968,0.12679417356430844
"244164_at","",1.3937121658532456,0.14867180845813233
"1559975_at","694",1.3934215006558908,0.053717620109917326
"231496_at","83953",1.3721027542435498,0.03699227067336713
"226776_at","56943",1.356915837238093,0.10244991738835486
"222577_at","60492",1.3376118865254167,0.20983446895494073
"231473_at","100506530",1.3300475865486587,0.2643250915167509
"1559573_at","100506229",1.320334545184389,0.05541877248129528
"204470_at","2919",1.3139835562023572,0.04783577340031052
"1563483_at","57234",1.2969924902801702,0.23306563543158904
"1561258_at","441151",1.275969162177656,0.23577892548511006
"206746_at","631",1.2734394993075338,0.05608463873382686
"228932_at","",1.2517703341460293,0.14635838269735985
"1569107_s_at","339559",1.2410079392955926,0.13455485980187934
"238979_at","100505606",1.2349933413213394,0.1478478450246878
"242380_at","",1.2331533853167356,0.36344780037791224
"216639_at","27286",1.2213455129816841,0.31511745060274815
"240436_at","650794",1.1985466129463704,0.28701246658966256
"212606_at","23001",1.1915907257839757,0.038763629748841726
"242233_at","",1.190078136575205,0.16663625169393584
"1562792_at","152519",1.1893864231144928,0.09229412942663538
"205296_at","5933",1.1695799347371443,0.32684425274443774
"1556658_a_at","",1.1687492395439094,0.23849760369176898
"235021_at","158358",1.1655468373431102,0.07460624028992568
"232795_at","",1.1488215470515368,0.22009854840049078
"242169_at","23743",1.1435759329389599,0.18341436065780145
"206336_at","6372",1.137997902923954,0.1393838812556013
"223484_at","84419",1.132748258967579,0.0717559512852618
"232971_at","64783",1.1116870058361294,0.20999287366225902
"1552816_at","158046",1.1079255237135144,0.27491038949284585
"240066_at","",1.1052293062533658,0.12024686710831087
"1554384_at","11240",1.1043747422035275,0.36237475352456283
"1560342_at","",1.102069626866428,0.044601143070410826
"231366_at","619190",1.0991803714227366,0.32932714521629036
"229720_at","573",1.0978037837063572,0.30640231021487085
"239527_at","22930",1.093755674508815,0.20175409997564925
"241786_at","",1.0929264189464063,0.07342444438050039
"242649_x_at","283651",1.0860532367942657,0.010157175148141085
"1560071_a_at","",1.0847700125654853,0.06253637363746094
"229581_at","392617",1.080527348968585,0.10016973094484055
"212531_at","3934",1.0761156453288314,0.0035857605514220277
"235579_at","9169",1.0679395941881853,0.0306265259886392
"204481_at","7862",1.066811501174507,0.10307008252236421
"228776_at","10052",1.066582532941031,0.11632796339687519
"242420_at","",1.063318832868238,0.19085013552427363
"241652_x_at","8825",1.058384619630899,0.31842338835916256
"241755_at","7385",1.0467188336326363,0.10335123810130152
"242834_at","",1.0461586392743198,0.09627501949770283
"1559705_s_at","5256",1.0342571872959758,0.23462307965419205
"244704_at","4801",1.0215728063195872,0.47318218585446753
"1569077_x_at","162962",1.0212406214586056,0.1326178175521637
"218589_at","10161",1.0191702073093463,0.04184957129673393
"232918_at","541471",1.0164216211765305,0.02763655302479668
"217324_at","",1.0094259717477791,0.21308159515354927
"1552521_a_at","157753",1.009133574762511,0.24128667532785666
"212784_at","23152",1.0065456021246517,0.1200161386915119
"211506_s_at","3576",0.9968735146414465,0.006227193374177606
"210531_at","7181",0.9922842866657197,0.04940257327962224
"1563531_at","",0.9910227750946302,0.17663805329875443
"240971_x_at","",0.9873111080590677,0.46192396120961865
"1553285_s_at","144715",0.9843834960474211,0.05513921371350223
"239830_at","",0.9810125477522847,0.09913263636192234
"217211_at","",0.9777989593873216,0.23455741383969206
"1556545_at","",0.9667195020026434,0.08984313141041349
"1569887_a_at","286135",0.9655235276395283,0.17548023423326034
"1553275_s_at","",0.9612642461025759,0.24993997223743974
"209774_x_at","2920",0.9605431266042985,0.027659318074193747
"215483_at","10142",0.9550360307906605,0.13892035274337072
"39402_at","3553",0.9539380397703838,0.33282897968033426
"202435_s_at","1545",0.9530154942179057,0.13099427252567664
"236836_at","",0.9528650497342845,0.16321403017700792
"207002_s_at","5325",0.9520906879837452,0.15698204454691372
"204269_at","11040",0.9461939170090445,0.36996690815878874
"1557539_at","",0.9455411690972632,0.0978985836108265
"210210_at","9019",0.94525413269365,0.17150916128994959
"238552_at","",0.9418964784974534,0.12468183257797427
"1559921_at","5175",0.9384932522070563,0.06114102233265753
"218810_at","80149",0.9381700232952495,0.1250555597874945
"1566785_x_at","4905",0.931960856749648,0.15871355179297322
"210141_s_at","3623",0.9300354354258645,0.35283410401842535
"1553589_a_at","10158",0.9261876903151346,0.040166720725542525
"207590_s_at","2491",0.9235595915384198,0.0408854481363278
"217662_x_at","",0.9222634670944765,0.4239101883799468
"230874_at","120103",0.9141769614259214,0.14987705169348364
"1554248_at","27332",0.9140366144819843,0.1874455830306735
"1569203_at","2920",0.9049673103531386,0.30563599662077834
"1564911_at","724102",0.8978658483522175,0.13703657040274583
"220946_s_at","29072",0.8975456798462973,0.08959628254385484
"219980_at","80167",0.8943835850385298,0.021030495859056263
"203482_at","55719",0.8898002078762736,0.37459498834291594
"236923_x_at","",0.8892363694626315,0.10120970206455539
"216983_s_at","7767",0.8855559821290544,8.903348990603763E-4
"213126_at","112950",0.8816618471582627,0.20004350178757838
"214702_at","2335",0.880950788469394,0.2773889894024901
"205568_at","366",0.8765466586062601,0.15169627550783768
"207907_at","8740",0.8756269635602728,0.3522620470534842
"241863_x_at","",0.8752634238176129,0.3945617232888089
"242691_at","",0.8741891797304495,0.15070643780700801
"235691_at","",0.8734981696863486,0.3065411730304493
"1562546_at","",0.8684362968880319,0.16176768662394878
"204840_s_at","8411",0.8682112560130866,0.09803317733218816
"232500_at","57186",0.8652237558730588,0.08949434849103928
"203370_s_at","9260",0.8576681264146203,0.2850907546427851
"217599_s_at","29969",0.854923127971236,0.07027573456374342
"1569289_at","54841",0.8542649953452324,0.09211769920155508
"232571_at","",0.8530877339536312,0.18908430905167523
"1568720_at","440515",0.8528065314227802,0.11421623110865432
"242110_at","",0.8518132123354013,0.2526697986031218
"222366_at","",0.8503490998739164,0.35154687988848127
"243649_at","25793",0.8498958630277438,0.08449830368596271
"238868_at","55075",0.848809930999316,0.4674691533225443
"229659_s_at","",0.8419505318330538,0.07418001231503157
"222382_x_at","23165",0.8411334314579589,0.0951194868308679
"236607_at","",0.8378470286415692,0.07966407311471894
"207969_x_at","56",0.8361296549635596,0.0904595306232559
"1570354_s_at","169841",0.8357164912679715,0.1868105584890296
"1569676_at","163590",0.8340322137670687,0.16305496874984635
